seq,realized_pnl_usd,position_qty
8,-0.146450,-1000000
68,-0.262895,0
97,-0.409341,-1000000
148,-0.621901,0
209,-0.768348,-1000000
251,-0.959704,0
279,-1.106145,1000000
280,-1.252585,2000000
313,-1.406675,1000000
364,-1.553122,2000000
415,-1.749032,1000000
476,-1.895478,2000000
517,-2.081154,1000000
545,-2.190944,0
548,-2.337398,-1000000
579,-2.490453,0
631,-2.636899,-1000000
683,-2.846659,0
743,-2.993106,-1000000
787,-3.181462,0
812,-3.327903,1000000
813,-3.474343,2000000
848,-3.629533,1000000
897,-3.775980,2000000
951,-3.970040,1000000
1009,-4.116487,2000000
1052,-4.301788,1000000
1080,-4.409004,0
1080,-4.555457,-1000000
1115,-4.706911,0
1165,-4.853358,-1000000
1216,-5.062417,0
1276,-5.208864,-1000000
1320,-5.398720,0
1345,-5.545161,1000000
1348,-5.691602,2000000
1380,-5.847391,1000000
1432,-5.993839,2000000
1483,-6.189348,1000000
1543,-6.335795,2000000
1588,-6.518221,1000000
1612,-6.628661,0
1615,-6.775115,-1000000
1647,-6.926270,0
1699,-7.072716,-1000000
1752,-7.281175,0
1809,-7.427622,-1000000
1852,-7.620478,0
1880,-7.766919,1000000
1880,-7.913359,2000000
1915,-8.066698,1000000
1965,-8.213146,2000000
2017,-8.404131,1000000
2076,-8.550578,2000000
2121,-8.730891,1000000
2145,-8.840819,0
2148,-8.987273,-1000000
2183,-9.137327,0
2233,-9.283774,-1000000
2284,-9.492432,0
2344,-9.638879,-1000000
2388,-9.828435,0
2415,-9.974875,1000000
2415,-10.121316,2000000
2448,-10.271955,1000000
2500,-10.418403,2000000
2551,-10.608938,1000000
2609,-10.755385,2000000
2655,-10.938273,1000000
2680,-11.047576,0
2681,-11.194029,-1000000
2716,-11.344583,0
2765,-11.491030,-1000000
2819,-11.698488,0
2877,-11.844936,-1000000
2923,-12.029391,0
2945,-12.175833,1000000
2949,-12.322273,2000000
2983,-12.474263,1000000
3033,-12.620711,2000000
3085,-12.811721,1000000
3145,-12.958168,2000000
3188,-13.138394,1000000
3213,-13.249234,0
3216,-13.395688,-1000000
3249,-13.544542,0
3299,-13.690988,-1000000
3351,-13.901747,0
3411,-14.048194,-1000000
3455,-14.238050,0
3480,-14.384491,1000000
3481,-14.530931,2000000
3517,-14.681021,1000000
3567,-14.827468,2000000
3620,-15.016679,1000000
3677,-15.163126,2000000
3723,-15.344252,1000000
3748,-15.451193,0
3748,-15.597645,-1000000
3783,-15.751400,0
3833,-15.897847,-1000000
3884,-16.104805,0
3945,-16.251253,-1000000
3989,-16.436708,0
4013,-16.583149,1000000
4015,-16.729590,2000000
4049,-16.883130,1000000
4101,-17.029577,2000000
4153,-17.219562,1000000
4212,-17.366009,2000000
4256,-17.548672,1000000
4280,-17.658550,0
4281,-17.805003,-1000000
4316,-17.954757,0
4367,-18.101203,-1000000
4420,-18.307762,0
4479,-18.454209,-1000000
4523,-18.639164,0
4547,-18.785606,1000000
4549,-18.932046,2000000
4584,-19.082586,1000000
4633,-19.229034,2000000
4685,-19.420519,1000000
4723,-19.528421,0
4747,-19.674867,1000000
4793,-19.849008,0
4816,-19.995461,-1000000
